ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
T-III Cuajimalpa,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.3569,-99.2974,1,Centros_de_Salud
T-III La Navidad,NAVIDAD (GRANJAS DE NAVIDAD),CUAJIMALPA DE MORELOS,19.3754,-99.2834,1,Centros_de_Salud
T-I Chimalpa,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,19.3545,-99.3192,1,Centros_de_Salud
T-I Memetla,EL YAQUI,CUAJIMALPA DE MORELOS,19.3611,-99.286,1,Centros_de_Salud
T-I Acopilco,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.3335,-99.3264,1,Centros_de_Salud
T-I Palo Alto,COOPERATIVA PALO ALTO,CUAJIMALPA DE MORELOS,19.383,-99.2553,1,Centros_de_Salud
T-I El Chamizal,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3905,-99.2637,1,Centros_de_Salud
T-I Jardines de la Palma,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,19.371,-99.2803,1,Centros_de_Salud
T-I Rosa Torres,SAN JOSE DE LOS CEDROS 2431,CUAJIMALPA DE MORELOS,19.3688,-99.2894,1,Centros_de_Salud
CLINICA Centro Dermatologico Ladislao de la Pascua,BUENOS AIRES,CUAUHTÉMOC,19.4066,-99.1496,3,Centros_de_Salud
T-III Soledad Orozco de avila Camacho,EX HIPODROMO DE PERALVILLO,CUAUHTÉMOC,19.4588,-99.1333,1,Centros_de_Salud
T-III Dr. Manuel Dominguez,GUERRERO,CUAUHTÉMOC,19.4403,-99.1471,1,Centros_de_Salud
T-III Dr. Atanasio Garza Rios,DOCTORES,CUAUHTÉMOC,19.4182,-99.1474,3,Centros_de_Salud
T-III Dr. JosE Maria Rodriguez,ASTURIAS,CUAUHTÉMOC,19.4042,-99.1359,3,Centros_de_Salud
CLINICA Clinica de Especialidades 2,CENTRO,CUAUHTÉMOC,19.4345,-99.129,1,Centros_de_Salud
Clinica de Especialidades 5,CENTRO,CUAUHTÉMOC,19.4272,-99.1436,3,Centros_de_Salud
Clinica Especializada en Medicina Integral,SAN RAFAEL,CUAUHTÉMOC,19.4367,-99.1636,3,Centros_de_Salud
T-I Zocalo,CENTRO,CUAUHTÉMOC,19.4328,-99.1343,1,Centros_de_Salud
T-III Dr. Domingo Orvañanos,MORELOS,CUAUHTÉMOC,19.4443,-99.1353,3,Centros_de_Salud
T-I San Juan de Aragon 6ª Seccion,SAN JUAN DE ARAGON VI SECCION,GUSTAVO A. MADERO,19.4679,-99.0685,1,Centros_de_Salud
T-I Felipe Berriozaval,GENERAL FELIPE BERRIOZABAL,GUSTAVO A. MADERO,19.5554,-99.1301,1,Centros_de_Salud
T-II 25 de Julio,25 DE JULIO,GUSTAVO A. MADERO,19.4957,-99.0807,1,Centros_de_Salud
T-I Arboledas de Cuautepec,ARBOLEDAS DE CUAUTEPEC 2085,GUSTAVO A. MADERO,19.5609,-99.1247,1,Centros_de_Salud
T-I Cocoyotes,COCOYOTES 2138,GUSTAVO A. MADERO,19.5499,-99.1275,1,Centros_de_Salud
T-II Valle Madero,LOMA LA PALMA,GUSTAVO A. MADERO,19.5483,-99.1439,1,Centros_de_Salud
T-I Cabo Buena Esperanza,GABRIEL HERNANDEZ 2205,GUSTAVO A. MADERO,19.5018,-99.0999,1,Centros_de_Salud
T-I Lomas de Cuahutepec,LOMAS DE CUAUTEPEC,GUSTAVO A. MADERO,19.5692,-99.1343,1,Centros_de_Salud
T-I La Pastora,LA PASTORA 2257,GUSTAVO A. MADERO,19.5241,-99.1377,1,Centros_de_Salud
T-II Narciso Bassols,NARCISO BASSOLS,GUSTAVO A. MADERO,19.4541,-99.0584,1,Centros_de_Salud
T-I San Juan de Aragon 1ª Seccion,SAN JUAN DE ARAGON I SECCION 2438,GUSTAVO A. MADERO,19.4641,-99.0936,1,Centros_de_Salud
T-I Providencia,PROVIDENCIA 2395,GUSTAVO A. MADERO,19.4844,-99.0724,1,Centros_de_Salud
T-III Nueva Atzacoalco,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.4962,-99.0862,3,Centros_de_Salud
T-III Dr. Gabriel Garzon Cossa,LA JOYA,GUSTAVO A. MADERO,19.4568,-99.1098,1,Centros_de_Salud
